year,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations
1854,-0.19452760252309784,0.4880138626077135,10988
1855,-0.17519791914504987,0.4805024891013734,10988
1856,-0.28539695087311395,0.40281366129410606,10988
1857,-0.3391225904240211,0.4335158416212202,10988
1858,-0.2873489834873619,0.44070909497367344,10988
1859,-0.17940063600754333,0.4293128217887455,10988
1860,-0.2667863505534515,0.48402499130816046,10988
1861,-0.3299468900997106,0.4602315615088091,10988
1862,-0.35561914525155697,0.4087955293597613,10988
1863,-0.2603152461732798,0.4740288283040162,10988
1864,-0.21865949595662326,0.44798740104826407,10988
1865,-0.15208089422603593,0.4141572607145817,10988
1866,-0.13864442868784466,0.4141945701869326,10988
1867,-0.22859514235920148,0.4076477170674352,10988
1868,-0.19943918774459665,0.4333582870785276,10988
1869,-0.196021420383143,0.49112595122660174,10988
1870,-0.21559849753978544,0.5342681637289786,10988
1871,-0.20229928940254208,0.40378193575730276,10988
1872,-0.24118086189258087,0.46307678860873985,10988
1873,-0.2792222684621895,0.5396836573047883,10988
1874,-0.3390826226159581,0.4980284106442424,10988
1875,-0.22555329110720654,0.5093357296963261,10988
1876,-0.28725201675739326,0.5445552316479316,10988
1877,0.022538372791698385,0.6688606175340919,10988
1878,-0.027582474730701675,0.6104146004662331,10988
1879,-0.1736364839000253,0.5166611589391789,10988
1880,-0.23210455755460987,0.5439032148151685,10988
1881,-0.18284954144311644,0.44392303889714146,10988
1882,-0.19108463298074596,0.48926457255245454,10988
1883,-0.2550701214366592,0.4609624691455324,10988
1884,-0.3265873681551637,0.4629511028680902,10988
1885,-0.3802837622082957,0.48404905326070236,10988
1886,-0.37677703463606527,0.4427215939368228,10988
1887,-0.4032471448786591,0.48054712759525076,10988
1888,-0.22827267451556765,0.5987668435186068,10988
1889,-0.2217737830317415,0.43499504629789676,10988
1890,-0.45549615297249735,0.5298567600331631,10988
1891,-0.3065102892703468,0.3904005549981729,10988
1892,-0.35911936549076723,0.5694449252943364,10988
1893,-0.40635581253065034,0.591185601655851,10988
1894,-0.4279629653323365,0.5266132378206209,10988
1895,-0.3139311976441106,0.42674556004554787,10988
1896,-0.18790836256083532,0.4765520000699831,10988
1897,-0.23635155289842924,0.5143553667004481,10988
1898,-0.39307156261918946,0.47844873468748833,10988
1899,-0.33139364245197034,0.5231511035551394,10988
1900,-0.24791113049155866,0.5667312664914452,10988
1901,-0.35077487554795966,0.49639856532428356,10988
1902,-0.42597247514422626,0.5554181601808403,10988
1903,-0.5597935186275635,0.5037060898452781,10988
1904,-0.6416054953452807,0.4747299507169627,10988
1905,-0.4403452928826881,0.5683768000854978,10988
1906,-0.42507558091514963,0.46476758606247387,10988
1907,-0.4880852214291414,0.39080347570289525,10988
1908,-0.6183243123736029,0.4564926137804029,10988
1909,-0.6543699827776331,0.43879384544913624,10988
1910,-0.6320635746339875,0.46227189158484056,10988
1911,-0.6187621726579956,0.3977660298407166,10988
1912,-0.48107687573204294,0.3531032764431508,10988
1913,-0.5273192262829272,0.35115600790221463,10988
1914,-0.3851424427325947,0.41238628978469066,10988
1915,-0.3171130073039545,0.42039869496746674,10988
1916,-0.4853168389649673,0.5328360785378357,10988
1917,-0.5370585662882033,0.583633509247211,10988
