year,land_anomaly_C,land_anomaly_err_C
1850,-1.452777,0.15367876824824547
1851,-1.262111,0.15367876824824547
1852,-1.217715,0.15367876824824547
1853,-1.343324,0.15367876824824547
1854,-1.145149,0.15367876824824547
1855,-1.243765,0.15367876824824547
1856,-1.222147,0.15367876824824547
1857,-1.256975,0.15367876824824547
1858,-1.334451,0.15367876824824547
1859,-1.18558,0.15367876824824547
1860,-1.569041,0.15367876824824547
1861,-1.580243,0.15367876824824547
1862,-1.736966,0.15367876824824547
1863,-1.489701,0.15367876824824547
1864,-1.574971,0.15367876824824547
1865,-1.3562,0.15367876824824547
1866,-1.437608,0.15367876824824547
1867,-1.527223,0.15367876824824547
1868,-1.418063,0.15367876824824547
1869,-1.20257,0.15367876824824547
1870,-1.487305,0.15367876824824547
1871,-1.489891,0.15367876824824547
1872,-1.523409,0.15367876824824547
1873,-1.431306,0.15367876824824547
1874,-1.401947,0.15367876824824547
1875,-1.617363,0.15367876824824547
1876,-1.557533,0.15367876824824547
1877,-1.127123,0.15367876824824547
1878,-1.005134,0.15367876824824547
1879,-1.472877,0.15367876824824547
1880,-1.459298,0.15367876824824547
1881,-1.344286,0.15367876824824547
1882,-1.514502,0.15367876824824547
1883,-1.457648,0.15367876824824547
1884,-1.622212,0.15367876824824547
1885,-1.482138,0.15367876824824547
1886,-1.482901,0.15367876824824547
1887,-1.575582,0.15367876824824547
1888,-1.251454,0.15367876824824547
1889,-1.084877,0.15367876824824547
1890,-1.466229,0.15367876824824547
1891,-1.455605,0.15367876824824547
1892,-1.469471,0.15367876824824547
1893,-1.573416,0.15367876824824547
1894,-1.510363,0.15367876824824547
1895,-1.409149,0.15367876824824547
1896,-1.354748,0.15367876824824547
1897,-1.211912,0.15367876824824547
1898,-1.368548,0.15367876824824547
1899,-1.20776,0.15367876824824547
1900,-1.087779,0.15367876824824547
1901,-1.019135,0.15367876824824547
1902,-1.222686,0.15367876824824547
1903,-1.334083,0.15367876824824547
1904,-1.341366,0.15367876824824547
1905,-1.26738,0.15367876824824547
1906,-1.034701,0.15367876824824547
1907,-1.432096,0.15367876824824547
1908,-1.374938,0.15367876824824547
1909,-1.323939,0.15367876824824547
1910,-1.20613,0.15367876824824547
1911,-1.333573,0.15367876824824547
1912,-1.428224,0.15367876824824547
1913,-1.27844,0.15367876824824547
1914,-1.042603,0.15367876824824547
1915,-1.031961,0.15367876824824547
1916,-1.321108,0.15367876824824547
1917,-1.589097,0.15367876824824547
1918,-1.518418,0.15367876824824547
1919,-1.212023,0.15367876824824547
1920,-1.202177,0.15367876824824547
1921,-1.057157,0.15367876824824547
1922,-1.155548,0.15367876824824547
1923,-1.201614,0.15367876824824547
1924,-1.123895,0.15367876824824547
1925,-1.12466,0.15367876824824547
1926,-0.927038,0.15367876824824547
1927,-1.106081,0.15367876824824547
1928,-0.980305,0.15367876824824547
1929,-1.354869,0.15367876824824547
1930,-0.992057,0.15367876824824547
1931,-0.873714,0.15367876824824547
1932,-0.9281,0.15367876824824547
1933,-1.19855,0.15367876824824547
1934,-0.900077,0.15367876824824547
1935,-1.045275,0.15367876824824547
1936,-0.998123,0.15367876824824547
1937,-0.881603,0.15367876824824547
1938,-0.675857,0.15367876824824547
1939,-0.795182,0.15367876824824547
1940,-0.782513,0.15367876824824547
1941,-0.827282,0.15367876824824547
