year,land_anomaly_C,land_anomaly_err_C,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations,global_anomaly_C,global_anomaly_err_C
1854,-1.145149,0.15367876824824547,-0.19452760252309784,0.4880138626077135,10988,-0.4711584291888764,0.3488799083287269
1855,-1.243765,0.15367876824824547,-0.17519791914504987,0.4805024891013734,10988,-0.4861509396738404,0.3435989558019888
1856,-1.222147,0.15367876824824547,-0.28539695087311395,0.40281366129410606,10988,-0.5579912151690378,0.28907501427240373
1857,-1.256975,0.15367876824824547,-0.3391225904240211,0.4335158416212202,10988,-0.606217641610631,0.31059905649005476
1858,-1.334451,0.15367876824824547,-0.2873489834873619,0.44070909497367344,10988,-0.5920556702925396,0.3156467870048979
1859,-1.18558,0.15367876824824547,-0.17940063600754333,0.4293128217887455,10988,-0.4721988309293482,0.30765046447456945
1860,-1.569041,0.15367876824824547,-0.2667863505534515,0.48402499130816046,10988,-0.645742453542397,0.3460753188965801
1861,-1.580243,0.15367876824824547,-0.3299468900997106,0.4602315615088091,10988,-0.6937830580806948,0.3293544307397247
1862,-1.736966,0.15367876824824547,-0.35561914525155697,0.4087955293597613,10988,-0.7575910799833538,0.29326583421530394
1863,-1.489701,0.15367876824824547,-0.2603152461732798,0.4740288283040162,10988,-0.6180665005368553,0.3390486981366523
1864,-1.574971,0.15367876824824547,-0.21865949595662326,0.44798740104826407,10988,-0.6133461436332459,0.3207558853039723
1865,-1.3562,0.15367876824824547,-0.15208089422603593,0.4141572607145817,10988,-0.5024795540062595,0.29702340848871567
1866,-1.437608,0.15367876824824547,-0.13864442868784466,0.4141945701869326,10988,-0.5166428279396819,0.29704955938768307
1867,-1.527223,0.15367876824824547,-0.22859514235920148,0.4076477170674352,10988,-0.6064958489326738,0.2924615791732721
1868,-1.418063,0.15367876824824547,-0.19943918774459665,0.4333582870785276,10988,-0.554058717110919,0.3104885146719409
1869,-1.20257,0.15367876824824547,-0.196021420383143,0.49112595122660174,10988,-0.4889270570516483,0.35106829084004715
1870,-1.487305,0.15367876824824547,-0.21559849753978544,0.5342681637289786,10988,-0.5856650897557079,0.38142683662785604
1871,-1.489891,0.15367876824824547,-0.20229928940254208,0.40378193575730276,10988,-0.5769884771864023,0.2897532755860311
1872,-1.523409,0.15367876824824547,-0.24118086189258087,0.46307678860873985,10988,-0.6143092500818399,0.3313531274386601
1873,-1.431306,0.15367876824824547,-0.2792222684621895,0.5396836573047883,10988,-0.6144786343396924,0.38524020290450445
1874,-1.401947,0.15367876824824547,-0.3390826226159581,0.4980284106442424,10988,-0.6483761564347144,0.3559228126201809
1875,-1.617363,0.15367876824824547,-0.22555329110720654,0.5093357296963261,10988,-0.6305699163950095,0.36387756261881726
1876,-1.557533,0.15367876824824547,-0.28725201675739326,0.5445552316479316,10988,-0.6569037828809918,0.38867100486070605
1877,-1.127123,0.15367876824824547,0.022538372791698385,0.6688606175340919,10988,-0.31201308669068584,0.47632614771397236
1878,-1.005134,0.15367876824824547,-0.027582474730701675,0.6104146004662331,10988,-0.31204996858406747,0.435088351859871
1879,-1.472877,0.15367876824824547,-0.1736364839000253,0.5166611589391789,10988,-0.551715474085118,0.3690324706906153
1880,-1.459298,0.15367876824824547,-0.23210455755460987,0.5439032148151685,10988,-0.5892178493062183,0.3882117987870227
1881,-1.344286,0.15367876824824547,-0.18284954144311644,0.44392303889714146,10988,-0.5208275508831696,0.31790265127690187
1882,-1.514502,0.15367876824824547,-0.19108463298074596,0.48926457255245454,10988,-0.5761990867833489,0.34975936489070464
1883,-1.457648,0.15367876824824547,-0.2550701214366592,0.4609624691455324,10988,-0.6050202840985914,0.3298678524226415
1884,-1.622212,0.15367876824824547,-0.3265873681551637,0.4629511028680902,10988,-0.7036141360220111,0.33126483178132177
1885,-1.482138,0.15367876824824547,-0.3802837622082957,0.48404905326070236,10988,-0.7009233454056816,0.346092235792392
1886,-1.482901,0.15367876824824547,-0.37677703463606527,0.4427215939368228,10988,-0.6986591085569702,0.31705931996727027
1887,-1.575582,0.15367876824824547,-0.4032471448786591,0.48054712759525076,10988,-0.7443965877189693,0.3436303353115323
1888,-1.251454,0.15367876824824547,-0.22827267451556765,0.5987668435186068,10988,-0.5260184402315375,0.4268746751250714
1889,-1.084877,0.15367876824824547,-0.2217737830317415,0.43499504629789676,10988,-0.4729368191695047,0.3116369215468199
1890,-1.466229,0.15367876824824547,-0.45549615297249735,0.5298567600331631,10988,-0.7496194114575006,0.3783209008396392
1891,-1.455605,0.15367876824824547,-0.3065102892703468,0.3904005549981729,10988,-0.6408968500926759,0.2803833801829431
1892,-1.469471,0.15367876824824547,-0.35911936549076723,0.5694449252943364,10988,-0.682231691132954,0.4062056717346122
1893,-1.573416,0.15367876824824547,-0.40635581253065034,0.591185601655851,10988,-0.745970327084231,0.42152952858068277
1894,-1.510363,0.15367876824824547,-0.4279629653323365,0.5266132378206209,10988,-0.7429413754206267,0.37603746504850477
1895,-1.409149,0.15367876824824547,-0.3139311976441106,0.42674556004554787,10988,-0.6326395781296744,0.3058497232651631
1896,-1.354748,0.15367876824824547,-0.18790836256083532,0.4765520000699831,10988,-0.5274586970556322,0.34082207877906723
1897,-1.211912,0.15367876824824547,-0.23635155289842924,0.5143553667004481,10988,-0.5202396430049864,0.3674097656632971
1898,-1.368548,0.15367876824824547,-0.39307156261918946,0.47844873468748833,10988,-0.6769352058970053,0.342155282258891
1899,-1.20776,0.15367876824824547,-0.33139364245197034,0.5231511035551394,10988,-0.586416252498447,0.37360034619622834
1900,-1.087779,0.15367876824824547,-0.24791113049155866,0.5667312664914452,10988,-0.4923126805185151,0.40429343853519306
1901,-1.019135,0.15367876824824547,-0.35077487554795966,0.49639856532428356,10988,-0.5452676717635033,0.35477643975286344
1902,-1.222686,0.15367876824824547,-0.42597247514422626,0.5554181601808403,10988,-0.6578161108772564,0.3963226605668828
1903,-1.334083,0.15367876824824547,-0.5597935186275635,0.5037060898452781,10988,-0.7851117577069425,0.35991674089004677
1904,-1.341366,0.15367876824824547,-0.6416054953452807,0.4747299507169627,10988,-0.8452358021998041,0.33954145714622186
1905,-1.26738,0.15367876824824547,-0.4403452928826881,0.5683768000854978,10988,-0.6810123926538258,0.4054529829700947
1906,-1.034701,0.15367876824824547,-0.42507558091514963,0.46476758606247387,10988,-0.6024765778688411,0.3325409741084008
1907,-1.432096,0.15367876824824547,-0.4880852214291414,0.39080347570289525,10988,-0.7627923579932613,0.2806653975866169
1908,-1.374938,0.15367876824824547,-0.6183243123736029,0.4564926137804029,10988,-0.8384988954728845,0.32672826600924354
1909,-1.323939,0.15367876824824547,-0.6543699827776331,0.43879384544913624,10988,-0.8492145667893418,0.31430263170179423
1910,-1.20613,0.15367876824824547,-0.6320635746339875,0.46227189158484056,10988,-0.7991169044154971,0.33078768572503325
1911,-1.333573,0.15367876824824547,-0.6187621726579956,0.3977660298407166,10988,-0.8267721234145189,0.2855398645669367
1912,-1.428224,0.15367876824824547,-0.48107687573204294,0.3531032764431508,10988,-0.7566966888940185,0.25431311252836586
1913,-1.27844,0.15367876824824547,-0.5273192262829272,0.35115600790221463,10988,-0.7458953714345954,0.25295412934823946
1914,-1.042603,0.15367876824824547,-0.3851424427325947,0.41238628978469066,10988,-0.5764634648974096,0.29578216390382583
1915,-1.031961,0.15367876824824547,-0.3171130073039545,0.42039869496746674,10988,-0.5251337731785037,0.30139887709972396
1916,-1.321108,0.15367876824824547,-0.4853168389649673,0.5328360785378357,10988,-0.7285320668261618,0.3804185097320597
1917,-1.589097,0.15367876824824547,-0.5370585662882033,0.583633509247211,10988,-0.843201750498336,0.41620570091092174
1918,-1.518418,0.15367876824824547,-0.402414128844486,0.44814270625428804,10988,-0.7271712553507406,0.3208649216059871
1919,-1.212023,0.15367876824824547,-0.43957524680618826,0.3925050160857692,10988,-0.6643575429855875,0.2818564426050275
1920,-1.202177,0.15367876824824547,-0.4352042412664961,0.39844622765521626,10988,-0.6583933140579458,0.28601618338220647
1921,-1.057157,0.15367876824824547,-0.4096625628992496,0.3843518147016948,10988,-0.598083444095568,0.2761505713156957
1922,-1.155548,0.15367876824824547,-0.46051432614918164,0.3711971509031914,10988,-0.6627691252397698,0.26695129759159364
1923,-1.201614,0.15367876824824547,-0.45828628308675246,0.3518683836953268,10988,-0.6745946487085075,0.25345126360993164
1924,-1.123895,0.15367876824824547,-0.46187409182823186,0.4662017281792276,10988,-0.6545221761062164,0.3335485723683404
1925,-1.12466,0.15367876824824547,-0.4241681060138212,0.40347587646178357,10988,-0.6280112471637993,0.2895388815735135
1926,-0.927038,0.15367876824824547,-0.33228679380963727,0.45681426096741795,10988,-0.5053593948110329,0.3269541690825722
1927,-1.106081,0.15367876824824547,-0.39242327971848034,0.3897195059613278,10988,-0.6000976763204027,0.2799067084930255
1928,-0.980305,0.15367876824824547,-0.43438399280159734,0.3815506592558136,10988,-0.5932470058963326,0.2741909558058926
1929,-1.354869,0.15367876824824547,-0.4835926582848577,0.3908009413922504,10988,-0.7371340737239642,0.28066362371646175
1930,-0.992057,0.15367876824824547,-0.3579717984607079,0.4352933247226076,10988,-0.5424905921086419,0.3118462136204927
1931,-0.873714,0.15367876824824547,-0.3244197258753629,0.4382813087748058,10988,-0.4842643596456323,0.3139429446649009
1932,-0.9281,0.15367876824824547,-0.40417592088899257,0.4302116141998186,10988,-0.5566378279102957,0.3082809537990943
1933,-1.19855,0.15367876824824547,-0.4448655528590325,0.4748718521402882,10988,-0.664187726977054,0.33964118906432633
1934,-0.900077,0.15367876824824547,-0.39020656599180664,0.43290903428152644,10988,-0.5385788622881909,0.31017331906821616
1935,-1.045275,0.15367876824824547,-0.3947088726804906,0.3867860537658535,10988,-0.5840236157304679,0.2778538061565314
1936,-0.998123,0.15367876824824547,-0.35615309984314336,0.4692644576887972,10988,-0.5429663407887886,0.33570056799844933
1937,-0.881603,0.15367876824824547,-0.2658473800864117,0.40125795601524394,10988,-0.4450322654812659,0.2879853485648262
1938,-0.675857,0.15367876824824547,-0.3383179868277318,0.4605204063646204,10988,-0.4365418396608619,0.3295573262825752
1939,-0.795182,0.15367876824824547,-0.2687009502851331,0.4096308032502198,10988,-0.4219069357521594,0.29385113127270474
1940,-0.782513,0.15367876824824547,-0.08824128802300434,0.5627854942038775,10988,-0.29027435620831005,0.4015131725768744
1941,-0.827282,0.15367876824824547,0.041836856827865636,0.6257156990734242,10988,-0.21107673050904324,0.445880767209001
1942,-0.859647,0.15367876824824547,-0.14021009123208036,0.43735382799394285,10988,-0.349566231683545,0.31329208063941827
1943,-0.841908,0.15367876824824547,-0.1620272151461268,0.48272059407828277,10988,-0.3598725235386039,0.345158275899993
1944,-0.67965,0.15367876824824547,0.0031374078950132884,0.4416609346545494,10988,-0.19555372780243557,0.316314848299257
1945,-0.91854,0.15367876824824547,-0.015818788472049334,0.4820859143878058,10988,-0.278510661026683,0.3447120859243742
1946,-0.942475,0.15367876824824547,-0.2718344039238346,0.41879818189079865,10988,-0.46699081738199877,0.30027672130225436
1947,-0.785404,0.15367876824824547,-0.3048405837924918,0.4115975485856011,10988,-0.4446845379088767,0.29522938721367914
1948,-0.893427,0.15367876824824547,-0.3455943699508076,0.37457458350882344,10988,-0.5050136652951226,0.2693123559326971
1949,-0.955344,0.15367876824824547,-0.3115167600365398,0.44461199130364765,10988,-0.4988704868659067,0.31838626864089725
1950,-1.136038,0.15367876824824547,-0.3169920187483658,0.4921093815452857,10988,-0.5553343992925914,0.3517598739581167
1951,-1.003851,0.15367876824824547,-0.23569142246897246,0.4321586353265985,10988,-0.4592258595305015,0.309646854600679
1952,-0.928719,0.15367876824824547,-0.17134742080923332,0.3949631635959563,10988,-0.39174255035374644,0.2835773269444957
1953,-0.717807,0.15367876824824547,-0.17455526258483187,0.3957327743897238,10988,-0.3326415181726458,0.28411616618054103
1954,-0.965091,0.15367876824824547,-0.33228020877903813,0.41155800903404255,10988,-0.5164281490243381,0.2952016771881748
1955,-1.038763,0.15367876824824547,-0.3571628659606188,0.48912858571341655,10988,-0.5555085049660788,0.34966374179918475
1956,-1.232577,0.15367876824824547,-0.3138894702605365,0.46021599146873166,10988,-0.5812275414147203,0.32934349382179395
1957,-0.954807,0.15367876824824547,-0.12768618988326122,0.40946437458925855,10988,-0.36837834562723215,0.29373450838649356
