year,co2_ppm,co2_unc_ppm,land_anomaly_C,land_anomaly_err_C,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations,global_anomaly_C,global_anomaly_err_C
1979,336.85,0.1,-0.885282,0.1536787682482454,0.0217337624765618,0.2651292288032646,10988,-0.2422078244041176,0.1932230212122331
1980,338.91,0.07,-0.573187,0.1536787682482454,0.0360233263604579,0.2986169573346319,10988,-0.1412568786104353,0.2163909402408535
1981,340.11,0.08,-0.361255,0.1536787682482454,-0.000141161896145,0.2729173573942801,10988,-0.1052252887843668,0.1985989887312475
1982,340.85,0.03,-0.910117,0.1536787682482454,-0.000378407588731,0.3484231604996338,10988,-0.2651123379804102,0.251047295038815
1983,342.53,0.05,-0.530656,0.1536787682482454,0.0763366204669223,0.4556119700724029,10988,-0.100298232088952,0.3261097771361778
1984,344.07,0.07,-0.791292,0.1536787682482454,-0.0187217150216456,0.3144025764344578,10988,-0.2435396679503467,0.2273530936637906
1985,345.54,0.07,-0.825652,0.1536787682482454,-0.059285091771215,0.3068250507750911,10988,-0.2822978620657915,0.2220881009900779
1986,346.97,0.07,-0.700293,0.1536787682482454,-0.0265411019375656,0.2919572701599681,10988,-0.222602904273734,0.2117734042198495
1987,348.68,0.09,-0.667889,0.1536787682482454,0.118874057890989,0.4259783926373161,10988,-0.1100739919552887,0.3053116577319152
1988,351.16,0.06,-0.378677,0.1536787682482454,0.0782447400946101,0.3615467128788551,10988,-0.0547194862729213,0.2602083540357394
1989,352.79,0.07,-0.629676,0.1536787682482454,0.0383429078840601,0.2929999181774423,10988,-0.1560505943102013,0.2124960284689226
1990,354.06,0.07,-0.311416,0.1536787682482454,0.1367423214361046,0.254769975570933,10988,0.0063282498981982,0.1860854989701767
1991,355.4,0.06,-0.332349,0.1536787682482454,0.1023651729704516,0.3087423568263842,10988,-0.0241366513639497,0.2234197940174202
1992,356.09,0.07,-0.715067,0.1536787682482454,0.022665507350145,0.3795188257161918,10988,-0.1920146522887471,0.2727697768895468
1993,356.84,0.07,-0.64749,0.1536787682482454,0.0288837084767741,0.3162303469539421,10988,-0.1679410406899671,0.228623808017044
1994,358.33,0.09,-0.535995,0.1536787682482454,0.0503202493258421,0.3007613944116262,10988,-0.1202974882279779,0.2178787496891711
1995,360.18,0.05,-0.153674,0.1536787682482454,0.0936650486386704,0.2764162615675726,10988,0.0216893854848173,0.2010167759893486
1996,361.93,0.04,-0.501508,0.1536787682482454,0.0480796759385438,0.3406301756556136,10988,-0.1118503377595723,0.2456124118555972
1997,363.04,0.05,-0.404479,0.1536787682482454,0.1963114255983539,0.461743592381503,10988,0.0214814117492329,0.3304165642901928
1998,365.7,0.05,-0.071576,0.1536787682482454,0.2447388855477501,0.4589138304346041,10988,0.1526912538533548,0.328428836484697
1999,367.8,0.06,-0.306933,0.1536787682482454,0.0435476411822577,0.4747253079722034,10988,-0.0584422254017792,0.3395381941162262
2000,368.96,0.07,-0.349796,0.1536787682482454,0.0715546005249626,0.3712273279817804,10988,-0.0510584242278014,0.2669723908055355
2001,370.57,0.06,-0.169829,0.1536787682482454,0.185279432103295,0.3621599085238521,10988,0.0819428783612361,0.2606366515700703
2002,372.58,0.05,-0.010833,0.1536787682482454,0.2194657309187525,0.3308928635531069,10988,0.1524488002213955,0.2388273676684845
2003,375.14,0.04,-0.040626,0.1536787682482454,0.2465345271311725,0.3464195656403381,10988,0.1629708137360013,0.249649594924134
2004,376.95,0.06,-0.217849,0.1536787682482454,0.2388140300628953,0.3338558352779952,10988,0.1059250883145928,0.2408912782339168
2005,378.98,0.05,0.207105,0.1536787682482454,0.2371926325641547,0.3540605647638983,10988,0.2284371314879857,0.2549812816184842
2006,381.15,0.05,0.087371,0.1536787682482454,0.2384668257262579,0.3204485999602692,10988,0.1944979404399168,0.2315575140697308
2007,382.9,0.05,0.23707,0.1536787682482454,0.1652088930303105,0.4025115485062398,10988,0.1861204751584902,0.2888633969019212
2008,385.02,0.04,-0.054709,0.1536787682482454,0.1501984429737807,0.424381110471012,10988,0.0905703770684105,0.3041914443346646
2009,386.5,0.04,0.038989,0.1536787682482454,0.2744589078490447,0.3234756827148822,10988,0.2059371646649727,0.2336636775484195
2010,388.75,0.07,0.239255,0.1536787682482454,0.2843688834791767,0.5011389322922353,10988,0.2712407433867363,0.3581108023130554
2011,390.62,0.07,0.110506,0.1536787682482454,0.1784824333062752,0.5269493137585333,10988,0.1587012912141491,0.3762740529347445
2012,392.65,0.07,0.096781,0.1536787682482454,0.2449966559907046,0.440319487977083,10988,0.2018659000974096,0.3153733445141983
2013,395.4,0.06,0.096825,0.1536787682482454,0.2669939913800565,0.3673614707503093,10988,0.2174748148884601,0.2642706245981557
2014,397.34,0.05,0.136892,0.1536787682482454,0.3585730313249466,0.4364357115922069,10988,0.2940638512093871,0.312647815809729
2015,399.65,0.05,0.383949,0.1536787682482454,0.4773055481545945,0.5201297601678488,10988,0.4501387926416075,0.3714737043215632
2016,403.07,0.07,0.681902,0.1536787682482454,0.5167701465593718,0.4564535680921823,10988,0.5648235159105947,0.3267008431805013
2017,405.22,0.08,0.518882,0.1536787682482454,0.4565157718203624,0.3860385784879656,10988,0.4746643442206369,0.2773307686071735
2018,407.61,0.08,0.392451,0.1536787682482454,0.4143954611607587,0.4416511039626935,10988,0.4080096229629779,0.3163079483505003
2019,410.07,0.09,0.570966,0.1536787682482454,0.4895274591120364,0.4319771276594946,10988,0.5132260745104338,0.3095195154160274
2020,412.44,0.07,0.713795,0.1536787682482454,0.4730765036694941,0.4694082557840144,10988,0.5431255861016713,0.3358016124264876
2021,414.7,0.07,0.441121,0.1536787682482454,0.3733924886864954,0.4989691404746469,10988,0.3931014854787252,0.3565845141565437
